Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: screenwriter || OBJECT: Siddique-Lal 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: cast member || OBJECT: Mukesh 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: cast member || OBJECT: Saikumar 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: cast member || OBJECT: Innocent 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: cast member || OBJECT: Vani Viswanath 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: cast member || OBJECT: Biju Menon 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: publication date || OBJECT: 1995 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: screenwriter || OBJECT: Siddique-Lal 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: cast member || OBJECT: Mukesh 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: cast member || OBJECT: Saikumar 
Mannar Mathai Speaking is a 1995 Malayalam comedy film written by Siddique-Lal , produced and directed by Mani C. Kappan , and starring Mukesh , Saikumar , Innocent , Vani Viswanath , and Biju Menon in the main roles . It is the sequel to Ramji Rao Speaking ( 1989 ) and was followed by Mannar Mathai Speaking 2 ( 2014 . ) The main plotline has been borrowed from the Alfred Hitchcock classic Vertigo .   Priyadarshan adapted certain subplots of the film for his Hindi film , Bhagam Bhag ( 2006 ) which went on to be remade in Telugu as Brahmanandam Drama Company . Writer Siddique later reused the story and tweaks it for his Tamil movie Sadhu Miranda . The film received universal acclaim upon release . It also did well at the box office . Saikumar , Mukesh , Innocent , Vijayaraghavan and Sukumari reprised their roles for this film . Harishree Ashokan , who played a minor role in the first film played a member of Garvashes Asaan 's mob . || SUBJECT: Mannar Mathai Speaking || PREDICATE: cast member || OBJECT: Innocent 
